Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Img self heal,Chrome 129.0.0.0,,,28-09-2024 14:00:18,28-09-2024 14:00:56,38.081s,PASSED
,,,,,,,
Test Cases/Self heal -Img locator,Chrome 129.0.0.0,,,28-09-2024 14:00:18,28-09-2024 14:00:56,37.971s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,28-09-2024 14:00:18,28-09-2024 14:00:19,1.560s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 129.0.0.0,,,28-09-2024 14:00:19,28-09-2024 14:00:22,2.812s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment (2)""))",Chrome 129.0.0.0,,,28-09-2024 14:00:22,28-09-2024 14:00:55,33.324s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,28-09-2024 14:00:55,28-09-2024 14:00:56,0.111s,PASSED
