Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Img self heal,Chrome 129.0.0.0,,,01-10-2024 09:41:26,01-10-2024 09:42:03,37.763s,PASSED
,,,,,,,
Test Cases/Self heal -Img locator,Chrome 129.0.0.0,,,01-10-2024 09:41:26,01-10-2024 09:42:03,37.677s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,01-10-2024 09:41:26,01-10-2024 09:41:27,1.052s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 129.0.0.0,,,01-10-2024 09:41:27,01-10-2024 09:41:31,3.944s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment (2)""))",Chrome 129.0.0.0,,,01-10-2024 09:41:31,01-10-2024 09:42:03,32.447s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,01-10-2024 09:42:03,01-10-2024 09:42:03,0.124s,PASSED
