Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Table,Chrome 129.0.0.0,,,09-10-2024 09:24:15,09-10-2024 09:24:23,7.962s,PASSED
,,,,,,,
Test Cases/Webtable,Chrome 129.0.0.0,,,09-10-2024 09:24:15,09-10-2024 09:24:23,7.876s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,09-10-2024 09:24:15,09-10-2024 09:24:17,1.570s,PASSED
"navigateToUrl(""https://rahulshettyacademy.com/AutomationPractice/"")",Chrome 129.0.0.0,,,09-10-2024 09:24:17,09-10-2024 09:24:19,2.444s,PASSED
maximizeWindow(),Chrome 129.0.0.0,,,09-10-2024 09:24:19,09-10-2024 09:24:20,0.181s,PASSED
"getText(findTestObject(""Page_Practice Page/Course""))",Chrome 129.0.0.0,,,09-10-2024 09:24:20,09-10-2024 09:24:20,0.362s,PASSED
delay(3),Chrome 129.0.0.0,,,09-10-2024 09:24:20,09-10-2024 09:24:23,3.035s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,09-10-2024 09:24:23,09-10-2024 09:24:23,0.171s,PASSED
