Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TutorialPoint,Chrome 129.0.0.0,,,04-10-2024 11:14:48,04-10-2024 11:15:12,23.994s,PASSED
,,,,,,,
Test Cases/TutorialPoint,Chrome 129.0.0.0,,,04-10-2024 11:14:49,04-10-2024 11:14:58,9.756s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,04-10-2024 11:14:49,04-10-2024 11:14:50,1.700s,PASSED
"navigateToUrl(""https://www.tutorialspoint.com/selenium/practice/register.php"")",Chrome 129.0.0.0,,,04-10-2024 11:14:50,04-10-2024 11:14:53,2.239s,PASSED
"click(findTestObject(""Object Repository/Page_Selenium Practice - Register/input_First Name_firstname""))",Chrome 129.0.0.0,,,04-10-2024 11:14:53,04-10-2024 11:14:54,0.846s,PASSED
"setText(findTestObject(""Object Repository/Page_Selenium Practice - Register/input_First Name_firstname""), firstname)",Chrome 129.0.0.0,,,04-10-2024 11:14:54,04-10-2024 11:14:54,0.806s,PASSED
"click(findTestObject(""Object Repository/Page_Selenium Practice - Register/input_Last Name_lastname""))",Chrome 129.0.0.0,,,04-10-2024 11:14:54,04-10-2024 11:14:55,0.314s,PASSED
"setText(findTestObject(""Object Repository/Page_Selenium Practice - Register/input_Last Name_lastname""), lastname)",Chrome 129.0.0.0,,,04-10-2024 11:14:55,04-10-2024 11:14:55,0.714s,PASSED
"click(findTestObject(""Object Repository/Page_Selenium Practice - Register/input_UserName_username""))",Chrome 129.0.0.0,,,04-10-2024 11:14:55,04-10-2024 11:14:56,0.426s,PASSED
"setText(findTestObject(""Object Repository/Page_Selenium Practice - Register/input_UserName_username""), username)",Chrome 129.0.0.0,,,04-10-2024 11:14:56,04-10-2024 11:14:57,0.732s,PASSED
"setText(findTestObject(""Object Repository/Page_Selenium Practice - Register/input_Password_password""), pass)",Chrome 129.0.0.0,,,04-10-2024 11:14:57,04-10-2024 11:14:57,0.824s,PASSED
"click(findTestObject(""Object Repository/Page_Selenium Practice - Register/input_Password_btn btn-primary""))",Chrome 129.0.0.0,,,04-10-2024 11:14:57,04-10-2024 11:14:58,0.807s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,04-10-2024 11:14:58,04-10-2024 11:14:58,0.198s,PASSED
,,,,,,,
Test Cases/TutorialPoint,Chrome 129.0.0.0,,,04-10-2024 11:14:58,04-10-2024 11:15:05,6.925s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,04-10-2024 11:14:58,04-10-2024 11:14:59,0.768s,PASSED
"navigateToUrl(""https://www.tutorialspoint.com/selenium/practice/register.php"")",Chrome 129.0.0.0,,,04-10-2024 11:14:59,04-10-2024 11:15:00,0.871s,PASSED
"click(findTestObject(""Object Repository/Page_Selenium Practice - Register/input_First Name_firstname""))",Chrome 129.0.0.0,,,04-10-2024 11:15:00,04-10-2024 11:15:01,0.836s,PASSED
"setText(findTestObject(""Object Repository/Page_Selenium Practice - Register/input_First Name_firstname""), firstname)",Chrome 129.0.0.0,,,04-10-2024 11:15:01,04-10-2024 11:15:02,0.732s,PASSED
"click(findTestObject(""Object Repository/Page_Selenium Practice - Register/input_Last Name_lastname""))",Chrome 129.0.0.0,,,04-10-2024 11:15:02,04-10-2024 11:15:02,0.299s,PASSED
"setText(findTestObject(""Object Repository/Page_Selenium Practice - Register/input_Last Name_lastname""), lastname)",Chrome 129.0.0.0,,,04-10-2024 11:15:02,04-10-2024 11:15:03,0.735s,PASSED
"click(findTestObject(""Object Repository/Page_Selenium Practice - Register/input_UserName_username""))",Chrome 129.0.0.0,,,04-10-2024 11:15:03,04-10-2024 11:15:03,0.384s,PASSED
"setText(findTestObject(""Object Repository/Page_Selenium Practice - Register/input_UserName_username""), username)",Chrome 129.0.0.0,,,04-10-2024 11:15:03,04-10-2024 11:15:04,0.787s,PASSED
"setText(findTestObject(""Object Repository/Page_Selenium Practice - Register/input_Password_password""), pass)",Chrome 129.0.0.0,,,04-10-2024 11:15:04,04-10-2024 11:15:04,0.610s,PASSED
"click(findTestObject(""Object Repository/Page_Selenium Practice - Register/input_Password_btn btn-primary""))",Chrome 129.0.0.0,,,04-10-2024 11:15:04,04-10-2024 11:15:05,0.763s,PASSED
