Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
website,Chrome 130.0.0.0,,,13-10-2024 13:36:54,13-10-2024 13:38:47,1m - 52.840s,PASSED
,,,,,,,
Test Cases/Amzon,Chrome 130.0.0.0,,,13-10-2024 13:36:55,13-10-2024 13:36:58,3.829s,PASSED
"openBrowser("""")",Chrome 130.0.0.0,,,13-10-2024 13:36:55,13-10-2024 13:36:56,1.182s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 130.0.0.0,,,13-10-2024 13:36:56,13-10-2024 13:36:57,1.386s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Online Shopping site in India Shop Onl_10c5f3/a_in""), "".in"")",Chrome 130.0.0.0,,,13-10-2024 13:36:57,13-10-2024 13:36:58,1.049s,PASSED
closeBrowser(),Chrome 130.0.0.0,,,13-10-2024 13:36:58,13-10-2024 13:36:58,0.097s,PASSED
,,,,,,,
Test Cases/Youtube,Chrome 130.0.0.0,,,13-10-2024 13:36:58,13-10-2024 13:37:03,4.389s,PASSED
"openBrowser("""")",Chrome 130.0.0.0,,,13-10-2024 13:36:58,13-10-2024 13:36:59,0.729s,PASSED
"navigateToUrl(""https://www.youtube.com/"")",Chrome 130.0.0.0,,,13-10-2024 13:36:59,13-10-2024 13:37:01,2.395s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_YouTube/div""), """")",Chrome 130.0.0.0,,,13-10-2024 13:37:01,13-10-2024 13:37:03,1.074s,PASSED
closeBrowser(),Chrome 130.0.0.0,,,13-10-2024 13:37:03,13-10-2024 13:37:03,0.157s,PASSED
,,,,,,,
Test Cases/goibibo,Chrome 130.0.0.0,,,13-10-2024 13:37:03,13-10-2024 13:37:08,5.213s,PASSED
"openBrowser("""")",Chrome 130.0.0.0,,,13-10-2024 13:37:03,13-10-2024 13:37:03,0.508s,PASSED
"navigateToUrl(""https://www.goibibo.com/"")",Chrome 130.0.0.0,,,13-10-2024 13:37:03,13-10-2024 13:37:06,2.852s,PASSED
"click(findTestObject(""Object Repository/Page_Goibibo - Best Travel Website. Book Ho_c2e78c/span_Daily Steal Deals  Special Discounts_l_c0692f""))",Chrome 130.0.0.0,,,13-10-2024 13:37:06,13-10-2024 13:37:08,1.642s,PASSED
closeBrowser(),Chrome 130.0.0.0,,,13-10-2024 13:37:08,13-10-2024 13:37:08,0.177s,PASSED
,,,,,,,
Test Cases/railyatri,Chrome 130.0.0.0,,,13-10-2024 13:37:08,13-10-2024 13:37:11,2.902s,PASSED
"openBrowser("""")",Chrome 130.0.0.0,,,13-10-2024 13:37:08,13-10-2024 13:37:09,0.757s,PASSED
"navigateToUrl(""https://www.railyatri.in/"")",Chrome 130.0.0.0,,,13-10-2024 13:37:09,13-10-2024 13:37:11,2.013s,PASSED
closeBrowser(),Chrome 130.0.0.0,,,13-10-2024 13:37:11,13-10-2024 13:37:11,0.083s,PASSED
,,,,,,,
Test Cases/shopify,Chrome 130.0.0.0,,,13-10-2024 13:37:11,13-10-2024 13:37:14,2.784s,PASSED
"openBrowser("""")",Chrome 130.0.0.0,,,13-10-2024 13:37:11,13-10-2024 13:37:12,0.648s,PASSED
"navigateToUrl(""https://www.shopify.com/in"")",Chrome 130.0.0.0,,,13-10-2024 13:37:12,13-10-2024 13:37:12,0.591s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Shopify/p_Dream big, build fast, and grow far on Shopify""), ""Dream big, build fast, and grow far on Shopify."")",Chrome 130.0.0.0,,,13-10-2024 13:37:12,13-10-2024 13:37:13,1.309s,PASSED
closeBrowser(),Chrome 130.0.0.0,,,13-10-2024 13:37:13,13-10-2024 13:37:14,0.152s,PASSED
,,,,,,,
Test Cases/opencart,Chrome 130.0.0.0,,,13-10-2024 13:37:14,13-10-2024 13:37:18,4.377s,PASSED
"openBrowser("""")",Chrome 130.0.0.0,,,13-10-2024 13:37:14,13-10-2024 13:37:14,0.745s,PASSED
"navigateToUrl(""https://www.opencart.com/"")",Chrome 130.0.0.0,,,13-10-2024 13:37:14,13-10-2024 13:37:18,3.378s,PASSED
closeBrowser(),Chrome 130.0.0.0,,,13-10-2024 13:37:18,13-10-2024 13:37:18,0.188s,PASSED
,,,,,,,
Test Cases/ebay,Chrome 130.0.0.0,,,13-10-2024 13:37:18,13-10-2024 13:37:21,2.844s,PASSED
"openBrowser("""")",Chrome 130.0.0.0,,,13-10-2024 13:37:18,13-10-2024 13:37:19,0.720s,PASSED
"navigateToUrl(""https://www.ebay.com/"")",Chrome 130.0.0.0,,,13-10-2024 13:37:19,13-10-2024 13:37:21,1.909s,PASSED
closeBrowser(),Chrome 130.0.0.0,,,13-10-2024 13:37:21,13-10-2024 13:37:21,0.169s,PASSED
,,,,,,,
Test Cases/snapdeal,Chrome 130.0.0.0,,,13-10-2024 13:37:21,13-10-2024 13:37:23,2.566s,PASSED
"openBrowser("""")",Chrome 130.0.0.0,,,13-10-2024 13:37:21,13-10-2024 13:37:22,0.646s,PASSED
"navigateToUrl(""https://snapdeal.com/"")",Chrome 130.0.0.0,,,13-10-2024 13:37:22,13-10-2024 13:37:23,1.771s,PASSED
closeBrowser(),Chrome 130.0.0.0,,,13-10-2024 13:37:23,13-10-2024 13:37:23,0.082s,PASSED
,,,,,,,
Test Cases/indiamart,Chrome 130.0.0.0,,,13-10-2024 13:37:23,13-10-2024 13:37:27,3.951s,PASSED
"openBrowser("""")",Chrome 130.0.0.0,,,13-10-2024 13:37:24,13-10-2024 13:37:24,0.706s,PASSED
"navigateToUrl(""https://www.indiamart.com/"")",Chrome 130.0.0.0,,,13-10-2024 13:37:24,13-10-2024 13:37:27,3.053s,PASSED
closeBrowser(),Chrome 130.0.0.0,,,13-10-2024 13:37:27,13-10-2024 13:37:27,0.144s,PASSED
,,,,,,,
Test Cases/firstcry,Chrome 130.0.0.0,,,13-10-2024 13:37:27,13-10-2024 13:37:32,4.434s,PASSED
"openBrowser("""")",Chrome 130.0.0.0,,,13-10-2024 13:37:28,13-10-2024 13:37:28,0.784s,PASSED
"navigateToUrl(""https://www.firstcry.com/"")",Chrome 130.0.0.0,,,13-10-2024 13:37:28,13-10-2024 13:37:32,3.449s,PASSED
closeBrowser(),Chrome 130.0.0.0,,,13-10-2024 13:37:32,13-10-2024 13:37:32,0.130s,PASSED
,,,,,,,
