Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
telecom var,Chrome 129.0.0.0,,,02-10-2024 14:24:08,02-10-2024 14:24:25,16.811s,PASSED
,,,,,,,
Test Cases/telecom,Chrome 129.0.0.0,,,02-10-2024 14:24:08,02-10-2024 14:24:25,16.732s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,02-10-2024 14:24:09,02-10-2024 14:24:10,1.721s,PASSED
"navigateToUrl(""https://demo.guru99.com/telecom/addcustomer.php"")",Chrome 129.0.0.0,,,02-10-2024 14:24:10,02-10-2024 14:24:15,4.328s,PASSED
"click(findTestObject(""Object Repository/Page_Guru99 Telecom Add Customer/label_Pending""))",Chrome 129.0.0.0,,,02-10-2024 14:24:15,02-10-2024 14:24:15,0.504s,PASSED
"setText(findTestObject(""Object Repository/Page_Guru99 Telecom Add Customer/input_Billing address_fname""), fname)",Chrome 129.0.0.0,,,02-10-2024 14:24:15,02-10-2024 14:24:16,0.828s,PASSED
"setText(findTestObject(""Object Repository/Page_Guru99 Telecom Add Customer/input_Billing address_lname""), lname)",Chrome 129.0.0.0,,,02-10-2024 14:24:16,02-10-2024 14:24:17,0.621s,PASSED
"setText(findTestObject(""Object Repository/Page_Guru99 Telecom Add Customer/input_Billing address_emailid""), email)",Chrome 129.0.0.0,,,02-10-2024 14:24:17,02-10-2024 14:24:17,0.817s,PASSED
"setText(findTestObject(""Object Repository/Page_Guru99 Telecom Add Customer/textarea_Email-ID is not valid_addr""), addr)",Chrome 129.0.0.0,,,02-10-2024 14:24:17,02-10-2024 14:24:18,0.917s,PASSED
"setText(findTestObject(""Object Repository/Page_Guru99 Telecom Add Customer/input_Email-ID is not valid_telephoneno""), phone)",Chrome 129.0.0.0,,,02-10-2024 14:24:18,02-10-2024 14:24:19,0.816s,PASSED
"click(findTestObject(""Object Repository/Page_Guru99 Telecom Add Customer/input_Email-ID is not valid_submit""))",Chrome 129.0.0.0,,,02-10-2024 14:24:19,02-10-2024 14:24:20,1.206s,PASSED
"getText(findTestObject(""Page_Guru99 telecom/custid text""))",Chrome 129.0.0.0,,,02-10-2024 14:24:20,02-10-2024 14:24:21,0.258s,PASSED
"click(findTestObject(""Object Repository/Page_Guru99 telecom/a_Home""))",Chrome 129.0.0.0,,,02-10-2024 14:24:21,02-10-2024 14:24:25,4.403s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,02-10-2024 14:24:25,02-10-2024 14:24:25,0.135s,PASSED
