Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Img self heal,Chrome 129.0.0.0,,,28-09-2024 12:47:29,28-09-2024 12:48:06,37.903s,PASSED
,,,,,,,
Test Cases/Self heal -Img locator,Chrome 129.0.0.0,,,28-09-2024 12:47:29,28-09-2024 12:48:06,37.823s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,28-09-2024 12:47:29,28-09-2024 12:47:30,1.064s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 129.0.0.0,,,28-09-2024 12:47:30,28-09-2024 12:47:34,4.058s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment (2)""))",Chrome 129.0.0.0,,,28-09-2024 12:47:34,28-09-2024 12:48:06,32.411s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,28-09-2024 12:48:06,28-09-2024 12:48:06,0.181s,PASSED
