Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Search Data,Chrome 129.0.0.0,,,03-10-2024 13:15:33,03-10-2024 13:15:46,12.537s,PASSED
,,,,,,,
Test Cases/Find a Place,Chrome 129.0.0.0,,,03-10-2024 13:15:33,03-10-2024 13:15:46,12.454s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,03-10-2024 13:15:34,03-10-2024 13:15:35,0.976s,PASSED
"navigateToUrl(""https://www.airbnb.co.in/"")",Chrome 129.0.0.0,,,03-10-2024 13:15:35,03-10-2024 13:15:36,1.321s,PASSED
"setText(findTestObject(""Object Repository/Page_Airbnb search/input_Where_query""), City)",Chrome 129.0.0.0,,,03-10-2024 13:15:36,03-10-2024 13:15:39,3.278s,PASSED
"click(findTestObject(""Object Repository/Page_Airbnb search/div_Check in""))",Chrome 129.0.0.0,,,03-10-2024 13:15:39,03-10-2024 13:15:40,1.261s,PASSED
"click(findTestObject(""Object Repository/Page_Airbnb search/label_3 days3 days""))",Chrome 129.0.0.0,,,03-10-2024 13:15:40,03-10-2024 13:15:41,0.970s,PASSED
"click(findTestObject(""Object Repository/Page_Airbnb search/span_Add guests_t1dqvypu atm_9s_1ulexfb atm_023ad9""))",Chrome 129.0.0.0,,,03-10-2024 13:15:41,03-10-2024 13:15:42,0.592s,PASSED
"verifyTextPresent(ExpectedResult, false)",Chrome 129.0.0.0,,,03-10-2024 13:15:42,03-10-2024 13:15:46,3.763s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,03-10-2024 13:15:46,03-10-2024 13:15:46,0.135s,PASSED
